"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"39",0.3245042,1.622521,"Mammals",-0.248201112258721,6,0.657273601657082,3,"No",0,0,"Tamias_amoenus","-119.833333_50.833333",1.61320735210376,5
"40",0.25938375,0.77815125,"Mammals",-0.613224383616324,4,1.67086143361462,5,"Yes",0,1,"Puma_concolor","-115.566667_51.166667",4.71265003828947,3
"41",0.429803036,1.719212142,"Mammals",1.09550774172434,8,3.03922530791811,6,"No",0,0,"Microtus_pennsylvanicus","-79.633333_43.683333",1.56525734342021,4
"42",0.205006565,1.435045952,"Mammals",0.058630043375205,7,1.57275820519505,7,"No",2,2,"Peromyscus_maniculatus","-119.666667_49.566667",1.32797162362301,7
"43",0.184622217,1.292355517,"Mammals",0.058630043375205,7,1.57275820519505,2,"No",2,2,"Sorex_vagrans","-119.666667_49.566667",0.770852011642144,7
"44",0.190131385,0.950656925,"Mammals",-0.708447845709611,4,0.222746964057761,2,"No",0,0,"Myodes_gapperi","-119.744043_49.861901",1.2973227142053,5
"45",-0.6,-3,"Mammals",-0.708447845709611,4,0.222746964057761,6,"No",0,0,"Microtus_longicaudus","-119.744043_49.861901",1.66940986728778,5
"46",0.126253457,0.631267285,"Mammals",-0.708447845709611,4,0.222746964057761,3,"No",0,0,"Phenacomys_intermedius","-119.744043_49.861901",1.40140054078154,5
"47",-0.6,-3,"Mammals",-0.708447845709611,4,0.222746964057761,4,"No",0,0,"Sorex_cinereus","-119.744043_49.861901",0.66838591669,5
"48",-0.6,-3,"Mammals",-0.708447845709611,4,0.222746964057761,6,"No",0,0,"Mustela_erminea","-119.744043_49.861901",2.07693157455566,5
"49",0.465582843,1.396748528,"Mammals",-3.10490497505735,2,0,2,"No",2,0,"Myodes_rutilus","-134.683061_69.019128",1.29972515397564,3
"50",0.222752186,0.891008745,"Mammals",-1.65539227430397,4,1.55966201234534,2,"No",2,0,"Myodes_rutilus","-133.728624_68.362042",1.29972515397564,4
"51",-0.5,-2,"Mammals",-1.65539227430397,4,1.55966201234534,6,"No",2,0,"Microtus_pennsylvanicus","-133.728624_68.362042",1.56525734342021,4
